Close,Volume,sentiment
43.869999,17145200.0,0.4
43.91,27905600.0,0.8333333333333334
43.939999,29384600.0,0.0
43.290001,27613800.0,0.0
43.439999,32763600.0,0.6666666666666666
44.259998,34958900.0,0.0
44.610001,28657900.0,1.0
45.57,41839000.0,1.0
46.630001,34369300.0,0.0
46.75,27017200.0,0.75
47.450001,33772700.0,1.0
47.110001,28600600.0,1.0
47.0,19769100.0,1.0
46.88999900000001,19987800.0,0.0
46.68,24697800.0,0.3333333333333333
47.009998,27189400.0,0.25
47.509998,26450300.0,0.5
47.619999,29387600.0,1.0
47.20000099999999,25144300.0,0.8333333333333334
52.869999,135227100.0,1.0
54.25,64633300.0,1.0
53.689999,50999900.0,1.0
53.98,47000800.0,0.75
53.36000099999999,30202100.0,0.6666666666666666
52.639999,46619800.0,0.25
53.240002,30285000.0,1.0
54.150002,36596900.0,0.0
54.400002,37087800.0,0.0
